"Name","Id","Location","Associations","AssociationText"
"vm0","/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Compute/virtualMachines/vm0","centralindia","System.Collections.Generic.List`1[Microsoft.Azure.Commands.Network.Models.PSTopologyAssociation]","[
  {
    ""AssociationType"": ""Contains"",
    ""Name"": ""nic0"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/networkInterfaces/nic0""
  }
]"
"vm1","/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Compute/virtualMachines/vm1","centralindia","System.Collections.Generic.List`1[Microsoft.Azure.Commands.Network.Models.PSTopologyAssociation]","[
  {
    ""AssociationType"": ""Contains"",
    ""Name"": ""nic1"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/networkInterfaces/nic1""
  }
]"
"load-balancer","/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/loadBalancers/load-balancer","centralindia","System.Collections.Generic.List`1[Microsoft.Azure.Commands.Network.Models.PSTopologyAssociation]","[
  {
    ""AssociationType"": ""Contains"",
    ""Name"": ""LoadBalancerBackend"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/loadBalancers/load-balancer/backendAddressPools/LoadBalancerBackend""
  },
  {
    ""AssociationType"": ""Contains"",
    ""Name"": ""LoadBalancerFrontend"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/loadBalancers/load-balancer/frontendIPConfigurations/LoadBalancerFrontend""
  },
  {
    ""AssociationType"": ""Associated"",
    ""Name"": ""RDP-VM1"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/loadBalancers/load-balancer/inboundNatRules/RDP-VM1""
  },
  {
    ""AssociationType"": ""Associated"",
    ""Name"": ""RDP-VM0"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/loadBalancers/load-balancer/inboundNatRules/RDP-VM0""
  }
]"
"LoadBalancerBackend","/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/loadBalancers/load-balancer/backendAddressPools/LoadBalancerBackend","centralindia","System.Collections.Generic.List`1[Microsoft.Azure.Commands.Network.Models.PSTopologyAssociation]","[
  {
    ""AssociationType"": ""Contains"",
    ""Name"": ""nic1"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/networkInterfaces/nic1""
  },
  {
    ""AssociationType"": ""Contains"",
    ""Name"": ""nic0"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/networkInterfaces/nic0""
  }
]"
"LoadBalancerFrontend","/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/loadBalancers/load-balancer/frontendIPConfigurations/LoadBalancerFrontend","centralindia","System.Collections.Generic.List`1[Microsoft.Azure.Commands.Network.Models.PSTopologyAssociation]","[]"
"RDP-VM1","/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/loadBalancers/load-balancer/inboundNatRules/RDP-VM1","centralindia","System.Collections.Generic.List`1[Microsoft.Azure.Commands.Network.Models.PSTopologyAssociation]","[
  {
    ""AssociationType"": ""Associated"",
    ""Name"": ""nic1"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/networkInterfaces/nic1""
  }
]"
"RDP-VM0","/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/loadBalancers/load-balancer/inboundNatRules/RDP-VM0","centralindia","System.Collections.Generic.List`1[Microsoft.Azure.Commands.Network.Models.PSTopologyAssociation]","[
  {
    ""AssociationType"": ""Associated"",
    ""Name"": ""nic0"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/networkInterfaces/nic0""
  }
]"
"nic0","/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/networkInterfaces/nic0","centralindia","System.Collections.Generic.List`1[Microsoft.Azure.Commands.Network.Models.PSTopologyAssociation]","[
  {
    ""AssociationType"": ""Associated"",
    ""Name"": ""vm0"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Compute/virtualMachines/vm0""
  },
  {
    ""AssociationType"": ""Associated"",
    ""Name"": ""Subnet-1"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/virtualNetworks/vnet/subnets/Subnet-1""
  },
  {
    ""AssociationType"": ""Associated"",
    ""Name"": ""LoadBalancerBackend"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/loadBalancers/load-balancer/backendAddressPools/LoadBalancerBackend""
  }
]"
"nic1","/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/networkInterfaces/nic1","centralindia","System.Collections.Generic.List`1[Microsoft.Azure.Commands.Network.Models.PSTopologyAssociation]","[
  {
    ""AssociationType"": ""Associated"",
    ""Name"": ""vm1"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Compute/virtualMachines/vm1""
  },
  {
    ""AssociationType"": ""Associated"",
    ""Name"": ""Subnet-1"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/virtualNetworks/vnet/subnets/Subnet-1""
  },
  {
    ""AssociationType"": ""Associated"",
    ""Name"": ""LoadBalancerBackend"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/loadBalancers/load-balancer/backendAddressPools/LoadBalancerBackend""
  }
]"
"poublic-ip","/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/publicIPAddresses/poublic-ip","centralindia","System.Collections.Generic.List`1[Microsoft.Azure.Commands.Network.Models.PSTopologyAssociation]","[
  {
    ""AssociationType"": ""Associated"",
    ""Name"": ""load-balancer"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/loadBalancers/load-balancer""
  }
]"
"vnet","/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/virtualNetworks/vnet","centralindia","System.Collections.Generic.List`1[Microsoft.Azure.Commands.Network.Models.PSTopologyAssociation]","[
  {
    ""AssociationType"": ""Contains"",
    ""Name"": ""Subnet-1"",
    ""ResourceId"": ""/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/virtualNetworks/vnet/subnets/Subnet-1""
  }
]"
"Subnet-1","/subscriptions/e5764b37-3dd3-42ee-842d-e1517f5801a9/resourceGroups/test-resource-group/providers/Microsoft.Network/virtualNetworks/vnet/subnets/Subnet-1","centralindia","System.Collections.Generic.List`1[Microsoft.Azure.Commands.Network.Models.PSTopologyAssociation]","[]"
